Freq.	V(vout)
1.00000000000000e-01	-1.16849783070717e-13,-5.91824502414574e-12
1.12201845430196e-01	-1.47093936172611e-13,-6.63979140107095e-12
1.25892541179417e-01	-1.85162506559678e-13,-7.44913701692653e-12
1.41253754462275e-01	-2.33077599274819e-13,-8.35689497071057e-12
1.58489319246111e-01	-2.93382653436552e-13,-9.37493217442372e-12
1.77827941003892e-01	-3.69276121321625e-13,-1.05165054184071e-11
1.99526231496888e-01	-4.64778998731287e-13,-1.17964071087892e-11
2.23872113856834e-01	-5.84944528675899e-13,-1.32311190377020e-11
2.51188643150958e-01	-7.36120299317477e-13,-1.48389712142929e-11
2.81838293126445e-01	-9.26275200798111e-13,-1.66403008456150e-11
3.16227766016838e-01	-1.16540629944476e-12,-1.86576037721829e-11
3.54813389233575e-01	-1.46604359477744e-12,-2.09156667107025e-11
3.98107170553497e-01	-1.84387372560822e-12,-2.34416631074238e-11
4.46683592150963e-01	-2.31850673148093e-12,-2.62651877018029e-11
5.01187233627272e-01	-2.91441247641864e-12,-2.94181943370474e-11
5.62341325190348e-01	-3.66205446860815e-12,-3.29347872804252e-11
6.30957344480192e-01	-4.59924718630173e-12,-3.68507973752193e-11
7.07945784384137e-01	-5.77275646040505e-12,-4.12030497990967e-11
7.94328234724280e-01	-7.24014764215919e-12,-4.60281994043578e-11
8.91250938133744e-01	-9.07185833471895e-12,-5.13609727457281e-11
9.99999999999999e-01	-1.13534246408931e-11,-5.72316149210291e-11
1.12201845430196e+00	-1.41877134457147e-11,-6.36622995583573e-11
1.25892541179417e+00	-1.76968981181408e-11,-7.06622326688409e-11
1.41253754462275e+00	-2.20237518507719e-11,-7.82211854690626e-11
1.58489319246111e+00	-2.73316179797596e-11,-8.63012597507530e-11
1.77827941003892e+00	-3.38021611905098e-11,-9.48268683724590e-11
1.99526231496888e+00	-4.16297481229322e-11,-1.03673260846495e-10
2.23872113856834e+00	-5.10111394394371e-11,-1.12654494915103e-10
2.51188643150958e+00	-6.21292510552019e-11,-1.21512568112795e-10
2.81838293126445e+00	-7.51302729202408e-11,-1.29910402298886e-10
3.16227766016837e+00	-9.00946383215738e-11,-1.37432273770141e-10
3.54813389233575e+00	-1.07004307088569e-10,-1.43595639434949e-10
3.98107170553496e+00	-1.25711321579138e-10,-1.47877505994518e-10
4.46683592150962e+00	-1.45914857131206e-10,-1.49756007008663e-10
5.01187233627271e+00	-1.67154786455052e-10,-1.48763736691770e-10
5.62341325190348e+00	-1.88827884428969e-10,-1.44544678013746e-10
6.30957344480192e+00	-2.10227870568052e-10,-1.36903246205411e-10
7.07945784384136e+00	-2.30603795317642e-10,-1.25834127055948e-10
7.94328234724279e+00	-2.49225534392763e-10,-1.11525997898266e-10
8.91250938133743e+00	-2.65443123139565e-10,-9.43394414177977e-11
9.99999999999997e+00	-2.78729377589220e-10,-7.47662937564510e-11
1.12201845430196e+01	-2.88701282298070e-10,-5.33813544763165e-11
1.25892541179416e+01	-2.95122026715726e-10,-3.07967520416350e-11
1.41253754462275e+01	-2.97889707242967e-10,-7.62546623202112e-12
1.58489319246111e+01	-2.97019588611717e-10,1.55440973880244e-11
1.77827941003892e+01	-2.92625177298989e-10,3.81639432329105e-11
1.99526231496887e+01	-2.84900851625362e-10,5.97354377746222e-11
2.23872113856833e+01	-2.74106948072922e-10,7.98136429330004e-11
2.51188643150957e+01	-2.60557692397583e-10,9.80083827749644e-11
2.81838293126444e+01	-2.44612759160844e-10,1.13983201514748e-10
3.16227766016837e+01	-2.26673365416254e-10,1.27454280024289e-10
3.54813389233574e+01	-2.07182582514976e-10,1.38192618282989e-10
3.98107170553496e+01	-1.86626954321728e-10,1.46032862973549e-10
4.46683592150961e+01	-1.65533879268891e-10,1.50889931958476e-10
5.01187233627270e+01	-1.44458569988304e-10,1.52780368418475e-10
5.62341325190347e+01	-1.23957065162447e-10,1.51841091712896e-10
6.30957344480191e+01	-1.04547183400680e-10,1.48336475626363e-10
7.07945784384135e+01	-8.66650522815335e-11,1.42647017564547e-10
7.94328234724278e+01	-7.06279529276522e-11,1.35238594741152e-10
8.91250938133741e+01	-5.66130234814812e-11,1.26617814609798e-10
9.99999999999995e+01	-4.46564944780725e-11,1.17283258411288e-10
1.12201845430196e+02	-3.46719909647360e-11,1.07682843187281e-10
1.25892541179416e+02	-2.64816786725613e-11,9.81844878875045e-11
1.41253754462275e+02	-1.98521693884767e-11,8.90626052489320e-11
1.58489319246111e+02	-1.45280765064802e-11,8.04987174820211e-11
1.77827941003891e+02	-1.02587647140718e-11,7.25920132721024e-11
1.99526231496887e+02	-6.81674472333329e-12,6.53751515930622e-11
2.23872113856833e+02	-4.00831258300986e-12,5.88314998062510e-11
2.51188643150957e+02	-1.67807067042321e-12,5.29114186150640e-11
2.81838293126444e+02	2.90923183244157e-13,4.75464818663298e-11
3.16227766016836e+02	1.98001787315601e-12,4.26613029579473e-11
3.54813389233574e+02	3.43993834743461e-12,3.81829223428709e-11
3.98107170553495e+02	4.69721969002237e-12,3.40476907633369e-11
4.46683592150961e+02	5.76147153998516e-12,3.02055184723804e-11
5.01187233627270e+02	6.63270396655671e-12,2.66214415853328e-11
5.62341325190346e+02	7.30785634981703e-12,2.32747275942274e-11
6.30957344480190e+02	7.78577356785424e-12,2.01561032891783e-11
7.07945784384134e+02	8.07019576795857e-12,1.72639711693058e-11
7.94328234724277e+02	8.17077199212525e-12,1.46005504744885e-11
8.91250938133740e+02	8.10251757888438e-12,1.21687040761419e-11
9.99999999999994e+02	7.88437771728400e-12,9.96986445744052e-12
1.12201845430196e+03	7.53757762243033e-12,8.00307990665631e-12
1.25892541179416e+03	7.08426102849294e-12,6.26489473012029e-12
1.41253754462275e+03	6.54663446323314e-12,4.74963919294379e-12
1.58489319246110e+03	5.94656316373285e-12,3.44975020101379e-12
1.77827941003891e+03	5.30540339435379e-12,2.35591419906155e-12
1.99526231496887e+03	4.64384107247652e-12,1.45701780992274e-12
2.23872113856832e+03	3.98159953356555e-12,7.40017992564147e-13
2.51188643150956e+03	3.33699873471911e-12,1.89868009699693e-13
2.81838293126443e+03	2.72642592696653e-12,-2.10411244776359e-13
3.16227766016836e+03	2.16379626231905e-12,-4.79485325216731e-13
3.54813389233573e+03	1.66006697444164e-12,-6.37292617016676e-13
3.98107170553494e+03	1.22285354049843e-12,-7.04481382047990e-13
4.46683592150960e+03	8.56192592432877e-13,-7.01721617452941e-13
5.01187233627269e+03	5.60496504943936e-13,-6.48929245552155e-13
5.62341325190345e+03	3.32737281047463e-13,-5.64460387522863e-13
6.30957344480189e+03	1.66877977680028e-13,-4.64352905509799e-13
7.07945784384133e+03	5.45398060423332e-14,-3.61703795672937e-13
7.94328234724276e+03	-1.41437797940037e-14,-2.66269089055055e-13
8.91250938133739e+03	-4.95720783711059e-14,-1.84353797917193e-13
9.99999999999992e+03	-6.17364309318510e-14,-1.19021906346962e-13
1.12201845430195e+04	-5.94196301766582e-14,-7.06042858699443e-14
1.25892541179416e+04	-4.96450666333864e-14,-3.74260514302395e-14
1.41253754462274e+04	-3.74404627605057e-14,-1.66298327995102e-14
1.58489319246110e+04	-2.59160891863366e-14,-4.95382827177880e-15
1.77827941003891e+04	-1.65905050634808e-14,6.57299783170295e-16
1.99526231496886e+04	-9.85041868000125e-15,2.67847928286606e-15
2.23872113856832e+04	-5.42134658831562e-15,2.86989424651423e-15
2.51188643150956e+04	-2.75334208844681e-15,2.32763516338871e-15
2.81838293126443e+04	-1.27589520434065e-15,1.63648219608207e-15
3.16227766016835e+04	-5.25309139839937e-16,1.04680720479036e-15
3.54813389233572e+04	-1.78733653357050e-16,6.24292634931223e-16
3.98107170553494e+04	-3.68744019672560e-17,3.52406589171029e-16
4.46683592150959e+04	1.10816072599279e-17,1.90313174896968e-16
5.01187233627268e+04	2.09490532407979e-17,9.91299613014406e-17
5.62341325190344e+04	1.80816465359509e-17,5.01282245885733e-17
6.30957344480187e+04	1.26383499749052e-17,2.47406220232761e-17
7.07945784384131e+04	7.96406656734054e-18,1.19698316497482e-17
7.94328234724274e+04	4.71439144345573e-18,5.69734535460895e-18
8.91250938133737e+04	2.67651327104759e-18,2.67567946792490e-18
9.99999999999990e+04	1.47522559621685e-18,1.24278609224972e-18
1.12201845430195e+05	7.95629010539495e-19,5.71967510091798e-19
1.25892541179415e+05	4.22156433149256e-19,2.61208572824046e-19
1.41253754462274e+05	2.21221417512197e-19,1.18498246486195e-19
1.58489319246110e+05	1.14817781770876e-19,5.34401353576655e-20
1.77827941003891e+05	5.91491450470978e-20,2.39685829032402e-20
1.99526231496886e+05	3.02937153054639e-20,1.06928259612037e-20
2.23872113856832e+05	1.54441926209511e-20,4.74390702534967e-21
2.51188643150955e+05	7.84526077522387e-21,2.09187658361276e-21
2.81838293126442e+05	3.97380172288264e-21,9.15936439750679e-22
