Freq.	V(vout)
1.00000000000000e-001	-2.58687921492079e-013,-6.03679064971911e-012
1.12201845430196e-001	-3.25561927517497e-013,-6.77066771660098e-012
1.25892541179417e-001	-4.09688923784625e-013,-7.59297079582346e-012
1.41253754462275e-001	-5.15499774582280e-013,-8.51402934433232e-012
1.58489319246111e-001	-6.48551449774124e-013,-9.54524501277367e-012
1.77827941003892e-001	-8.15806342730636e-013,-1.06991461031287e-011
1.99526231496888e-001	-1.02597685433923e-012,-1.19894181402603e-011
2.23872113856834e-001	-1.28994812690288e-012,-1.34308957929055e-011
2.51188643150958e-001	-1.62129290901764e-012,-1.50394952534480e-011
2.81838293126445e-001	-2.03689270912218e-012,-1.68320579473877e-011
3.16227766016838e-001	-2.55767781118600e-012,-1.88260655750370e-011
3.54813389233575e-001	-3.20949406043629e-012,-2.10391725097080e-011
3.98107170553497e-001	-4.02409458965591e-012,-2.34884842230260e-011
4.46683592150963e-001	-5.04023697456091e-012,-2.61894899632511e-011
5.01187233627272e-001	-6.30483674558236e-012,-2.91545357956167e-011
5.62341325190348e-001	-7.87408176117860e-012,-3.23907038212654e-011
6.30957344480192e-001	-9.81434310743091e-012,-3.58969518862684e-011
7.07945784384137e-001	-1.22026222232944e-011,-3.96603776012372e-011
7.94328234724280e-001	-1.51261501254141e-011,-4.36515203363285e-011
8.91250938133744e-001	-1.86806117985824e-011,-4.78187322265104e-011
9.99999999999999e-001	-2.29663341757172e-011,-5.20818666150767e-011
1.12201845430196e+000	-2.80817055655792e-011,-5.63258779185153e-011
1.25892541179417e+000	-3.41131800320074e-011,-6.03954031411457e-011
1.41253754462275e+000	-4.11215838349910e-011,-6.40919443880130e-011
1.58489319246111e+000	-4.91251964841385e-011,-6.71757353174289e-011
1.77827941003892e+000	-5.80812497524146e-011,-6.93744751259439e-011
1.99526231496888e+000	-6.78688908507535e-011,-7.04005070144347e-011
2.23872113856834e+000	-7.82778152841179e-011,-6.99764608087322e-011
2.51188643150958e+000	-8.90069892646262e-011,-6.78669918288243e-011
2.81838293126445e+000	-9.96765417420027e-011,-6.39117168897923e-011
3.16227766016837e+000	-1.09852988559411e-010,-5.80529146906435e-011
