Freq.	V(vout)
1.00000000000000e-001	-6.60302919066499e-014,-2.78214767283624e-012
1.12201845430196e-001	-8.31163321782799e-014,-3.12118833814833e-012
1.25892541179417e-001	-1.04620023719027e-013,-3.50141989820197e-012
1.41253754462275e-001	-1.31681494520358e-013,-3.92779497650731e-012
1.58489319246111e-001	-1.65733913293613e-013,-4.40584032529135e-012
1.77827941003892e-001	-2.08578102340994e-013,-4.94171451220766e-012
1.99526231496888e-001	-2.62475736025124e-013,-5.54226760881657e-012
2.23872113856834e-001	-3.30265512681560e-013,-6.21510109734106e-012
2.51188643150958e-001	-4.15507580853577e-013,-6.96862519670874e-012
2.81838293126445e-001	-5.22662486950690e-013,-7.81210936984684e-012
3.16227766016838e-001	-6.57311939794169e-013,-8.75571975861425e-012
3.54813389233575e-001	-8.26429652418777e-013,-9.81053450368381e-012
3.98107170553497e-001	-1.03871123247590e-012,-1.09885240993323e-011
4.46683592150963e-001	-1.30497222271822e-012,-1.23024788190622e-011
5.01187233627272e-001	-1.63862241230270e-012,-1.37658585171212e-011
5.62341325190348e-001	-2.05622162014467e-012,-1.53925314875478e-011
6.30957344480192e-001	-2.57811605091461e-012,-1.71963584216047e-011
7.07945784384137e-001	-3.22914326410513e-012,-1.91905650911615e-011
7.94328234724280e-001	-4.03937537140288e-012,-2.13868341890579e-011
8.91250938133744e-001	-5.04484129994942e-012,-2.37940351066669e-011
9.99999999999999e-001	-6.28812662001235e-012,-2.64165048490520e-011
1.12201845430196e+000	-7.81869109365169e-012,-2.92518015691816e-011
1.25892541179417e+000	-9.69267015283929e-012,-3.22878863948568e-011
1.41253754462275e+000	-1.19718438156584e-011,-3.54997658036633e-011
1.58489319246111e+000	-1.47213837360250e-011,-3.88457645202171e-011
1.77827941003892e+000	-1.80059625823346e-011,-4.22638119575399e-011
1.99526231496888e+000	-2.18838871599696e-011,-4.56684092441200e-011
2.23872113856834e+000	-2.63991691733888e-011,-4.89492545135604e-011
2.51188643150958e+000	-3.15719339826454e-011,-5.19727347159933e-011
2.81838293126445e+000	-3.73882805849997e-011,-5.45874693349663e-011
3.16227766016837e+000	-4.37915033341037e-011,-5.66346181750459e-011
3.54813389233575e+000	-5.06771539773926e-011,-5.79626342029311e-011
3.98107170553496e+000	-5.78943433348101e-011,-5.84446907437150e-011
4.46683592150962e+000	-6.52546484350876e-011,-5.79956145695163e-011
5.01187233627271e+000	-7.25480953438205e-011,-5.65845048350644e-011
5.62341325190348e+000	-7.95635589413803e-011,-5.42398506866310e-011
6.30957344480192e+000	-8.61094951039120e-011,-5.10458389949107e-011
7.07945784384136e+000	-9.20309002575315e-011,-4.71309387607384e-011
7.94328234724279e+000	-9.72197734642868e-011,-4.26517186687422e-011
8.91250938133743e+000	-1.01618420391600e-010,-3.77754705874949e-011
9.99999999999997e+000	-1.05216728651347e-010,-3.26645508043555e-011
1.12201845430196e+001	-1.08045419080950e-010,-2.74639913716817e-011
1.25892541179416e+001	-1.10167169233216e-010,-2.22926273520090e-011
1.41253754462275e+001	-1.11666798641332e-010,-1.72372507725046e-011
1.58489319246111e+001	-1.12640938113029e-010,-1.23492583744445e-011
