Freq.	V(vout)
1.00000000000000e-001	-5.12728519151505e-015,-2.29369550534814e-012
1.12201845430196e-001	-6.45486426217480e-015,-2.57356596373490e-012
1.25892541179417e-001	-8.12618416601123e-015,-2.88758466001471e-012
1.41253754462275e-001	-1.02302462821405e-014,-3.23991784618238e-012
1.58489319246111e-001	-1.28790956874379e-014,-3.63523994277403e-012
1.77827941003892e-001	-1.62137870414777e-014,-4.07879546597948e-012
1.99526231496888e-001	-2.04118949537036e-014,-4.57646847848850e-012
2.23872113856834e-001	-2.56969683478311e-014,-5.13486046869264e-012
2.51188643150958e-001	-3.23504318985490e-014,-5.76137766771378e-012
2.81838293126445e-001	-4.07265675264408e-014,-6.46432892909167e-012
3.16227766016838e-001	-5.12713727851526e-014,-7.25303542218019e-012
3.54813389233575e-001	-6.45462983931652e-014,-8.13795352737230e-012
3.98107170553497e-001	-8.12581262690455e-014,-9.13081246864665e-012
4.46683592150963e-001	-1.02296574503419e-013,-1.02447683752217e-011
5.01187233627272e-001	-1.28781624663278e-013,-1.14945766266687e-011
5.62341325190348e-001	-1.62123080151881e-013,-1.28967845001795e-011
6.30957344480192e-001	-2.04095509209626e-013,-1.44699462976091e-011
7.07945784384137e-001	-2.56932534390827e-013,-1.62348632722829e-011
7.94328234724280e-001	-3.23445444102384e-013,-1.82148507846425e-011
8.91250938133744e-001	-4.07172369914618e-013,-2.04360351667782e-011
9.99999999999999e-001	-5.12565858900039e-013,-2.29276827325207e-011
1.12201845430196e+000	-6.45228647543115e-013,-2.57225631795354e-011
1.25892541179417e+000	-8.12209904626794e-013,-2.88573492173932e-011
1.41253754462275e+000	-1.02237726216114e-012,-3.23730535132694e-011
1.58489319246111e+000	-1.28688372360050e-012,-3.63155028220789e-011
1.77827941003892e+000	-1.61975317036267e-012,-4.07358472450260e-011
1.99526231496888e+000	-2.03861383914108e-012,-4.56910996373347e-011
2.23872113856834e+000	-2.56561597358739e-012,-5.12446958403695e-011
2.51188643150958e+000	-3.22857800859991e-012,-5.74670600606092e-011
2.81838293126445e+000	-4.06241521176245e-012,-6.44361505537184e-011
3.16227766016837e+000	-5.11091565628920e-012,-7.22379477011424e-011
3.54813389233575e+000	-6.42894047743793e-012,-8.09668281166754e-011
3.98107170553496e+000	-8.08513791939238e-012,-9.07257426442095e-011
4.46683592150962e+000	-1.01652723915768e-011,-1.01626080489020e-010
5.01187233627271e+000	-1.27762782206996e-011,-1.13787053116613e-010
5.62341325190348e+000	-1.60511489048025e-011,-1.27334366211469e-010
6.30957344480192e+000	-2.01547597648948e-011,-1.42397861815912e-010
7.07945784384136e+000	-2.52906844714504e-011,-1.59107701971889e-010
7.94328234724279e+000	-3.17089882073808e-011,-1.77588527674178e-010
8.91250938133743e+000	-3.97148394076426e-011,-1.97950864982651e-010
9.99999999999997e+000	-4.96775468893671e-011,-2.20278875004470e-010
1.12201845430196e+001	-6.20392602277925e-011,-2.44613383891409e-010
1.25892541179416e+001	-7.73220243435193e-011,-2.70929038237311e-010
1.41253754462275e+001	-9.61311170966604e-011,-2.99104507284051e-010
1.58489319246111e+001	-1.19151615314489e-010,-3.28885049395379e-010
1.77827941003892e+001	-1.47134000401679e-010,-3.59837692015895e-010
1.99526231496887e+001	-1.80863544565315e-010,-3.91300999640315e-010
2.23872113856833e+001	-2.21107655851504e-010,-4.22334146638018e-010
2.51188643150957e+001	-2.68536034991183e-010,-4.51673791792679e-010
2.81838293126444e+001	-3.23611374964367e-010,-4.77711611747070e-010
3.16227766016837e+001	-3.86454318865480e-010,-4.98509036613355e-010
3.54813389233574e+001	-4.56695671514591e-010,-5.11866544567895e-010
3.98107170553496e+001	-5.33339985204937e-010,-5.15460083343370e-010
4.46683592150961e+001	-6.14673843159391e-010,-5.07044863989830e-010
5.01187233627270e+001	-6.98253887208730e-010,-4.84707865434221e-010
5.62341325190347e+001	-7.80999048315627e-010,-4.47130335001499e-010
6.30957344480191e+001	-8.59388348147144e-010,-3.93809412901438e-010
7.07945784384135e+001	-9.29737091744545e-010,-3.25191937816066e-010
7.94328234724278e+001	-9.88502555465452e-010,-2.42694821530606e-010
8.91250938133742e+001	-1.03256604068251e-009,-1.48616768426754e-010
9.99999999999995e+001	-1.05945314878177e-009,-4.59714883845839e-011
1.12201845430196e+002	-1.06747950496279e-009,6.17183038406764e-011
1.25892541179416e+002	-1.05583111049879e-009,1.70635457774417e-010
1.41253754462275e+002	-1.02459669866491e-009,2.76879073065976e-010
1.58489319246111e+002	-9.74762412702053e-010,3.76674184024011e-010
1.77827941003891e+002	-9.08164005741763e-010,4.66586270504121e-010
1.99526231496887e+002	-8.27380151150747e-010,5.43735033712978e-010
2.23872113856833e+002	-7.35552297341799e-010,6.05982785952922e-010
2.51188643150957e+002	-6.36134601688715e-010,6.52058290682621e-010
2.81838293126444e+002	-5.32604872988230e-010,6.81578509020479e-010
3.16227766016836e+002	-4.28190185056470e-010,6.94952108614246e-010
3.54813389233574e+002	-3.25665769288797e-010,6.93182259832980e-010
3.98107170553495e+002	-2.27268718508081e-010,6.77617452648128e-010
4.46683592150961e+002	-1.34735781511108e-010,6.49714639741706e-010
5.01187233627270e+002	-4.94398600972563e-011,6.10874200662690e-010
5.62341325190346e+002	2.74262299556801e-011,5.62384928519739e-010
6.30957344480190e+002	9.46822950182076e-011,5.05487105080821e-010
7.07945784384134e+002	1.51070439222288e-010,4.41529539243573e-010
7.94328234724277e+002	1.95285421598272e-010,3.72167526991963e-010
8.91250938133740e+002	2.26138064069650e-010,2.99529237598004e-010
9.99999999999994e+002	2.42823105613784e-010,2.26276114087554e-010
1.12201845430196e+003	2.45222796574807e-010,1.55504978071885e-010
1.25892541179416e+003	2.34154109100596e-010,9.04839718938946e-011
1.41253754462275e+003	2.11473767410970e-010,3.42676670146214e-011
1.58489319246110e+003	1.79992165480613e-010,-1.07223483070148e-011
1.77827941003891e+003	1.43200297117109e-010,-4.30530034563479e-011
1.99526231496887e+003	1.04861458670067e-010,-6.24919263499128e-011
2.23872113856832e+003	6.85461431763028e-011,-7.00340910194326e-011
2.51188643150956e+003	3.71927465044212e-011,-6.77394655871999e-011
2.81838293126443e+003	1.27672898585365e-011,-5.84089720993408e-011
3.16227766016836e+003	-3.91972150392029e-012,-4.51501465204448e-011
3.54813389233573e+003	-1.32023853058648e-011,-3.09053787750193e-011
3.98107170553494e+003	-1.63503413825968e-011,-1.80317452737754e-011
4.46683592150960e+003	-1.52020936926858e-011,-8.02114402899594e-012
5.01187233627269e+003	-1.17258627948439e-011,-1.42220374012934e-012
5.62341325190345e+003	-7.61800026886279e-012,2.02753847494380e-012
6.30957344480189e+003	-4.03839666592931e-012,3.11284566922586e-012
7.07945784384133e+003	-1.53536989994568e-012,2.79513860378712e-012
7.94328234724276e+003	-1.46276305655476e-013,1.91874935422326e-012
8.91250938133739e+003	3.97239273988374e-013,1.04467019221553e-012
9.99999999999992e+003	4.53432403575683e-013,4.27796967434382e-013
1.12201845430195e+004	3.18746007619168e-013,9.70567251325594e-014
1.25892541179416e+004	1.67807605498185e-013,-2.92023149760788e-014
1.41253754462274e+004	6.64751876164584e-014,-4.99445780514139e-014
1.58489319246110e+004	1.69649860223904e-014,-3.48011148315720e-014
1.77827941003891e+004	-2.81669986140519e-016,-1.71850890929148e-014
1.99526231496886e+004	-3.35727579468456e-015,-6.45531681563394e-015
2.23872113856832e+004	-2.36069117252206e-015,-1.75294153621088e-015
2.51188643150956e+004	-1.11345441015665e-015,-2.26479404316041e-016
2.81838293126443e+004	-4.10832546538416e-016,9.16825037226632e-017
3.16227766016835e+004	-1.22126803954854e-016,8.70251410414148e-017
3.54813389233572e+004	-2.80392614949117e-017,4.32671279321681e-017
3.98107170553494e+004	-3.79287551390196e-018,1.67480795994113e-017
