Freq.	V(vout)
1.00000000000000e-001	-8.24165932308848e-014,-4.63070575821373e-012
1.12201845430196e-001	-1.03750924786329e-013,-5.19538967307123e-012
1.25892541179417e-001	-1.30606088463824e-013,-5.82883208496555e-012
1.41253754462275e-001	-1.64409715711767e-013,-6.53936370009877e-012
1.58489319246111e-001	-2.06958005611145e-013,-7.33630737704160e-012
1.77827941003892e-001	-2.60510524195327e-013,-8.23008916914771e-012
1.99526231496888e-001	-3.27909180902233e-013,-9.23235880322376e-012
2.23872113856834e-001	-4.12727427435329e-013,-1.03561190646480e-011
2.51188643150958e-001	-5.19457164781286e-013,-1.16158628129687e-011
2.81838293126445e-001	-6.53742585726116e-013,-1.30277152429795e-011
3.16227766016838e-001	-8.22672259206031e-013,-1.46095773850823e-011
3.54813389233575e-001	-1.03514320256721e-012,-1.63812645001458e-011
3.98107170553497e-001	-1.30231348078598e-012,-1.83646296883945e-011
4.46683592150963e-001	-1.63816295385994e-012,-2.05836583229694e-011
5.01187233627272e-001	-2.06018499953815e-012,-2.30645123390182e-011
5.62341325190348e-001	-2.59023503279152e-012,-2.58354943147879e-011
6.30957344480192e-001	-3.25556381554271e-012,-2.89268888662365e-011
7.07945784384137e-001	-4.09006385444476e-012,-3.23706221804725e-011
7.94328234724280e-001	-5.13575392028310e-012,-3.61996584809556e-011
8.91250938133744e-001	-6.44451721511447e-012,-4.04470238646171e-011
9.99999999999999e-001	-8.08008893393074e-012,-4.51443127178315e-011
1.12201845430196e+000	-1.01202530803477e-011,-5.03194903425547e-011
1.25892541179417e+000	-1.26591484065284e-011,-5.59937603203414e-011
1.41253754462275e+000	-1.58094890848690e-011,-6.21772235069087e-011
1.58489319246111e+000	-1.97043657662901e-011,-6.88630313801334e-011
1.77827941003892e+000	-2.44980971949628e-011,-7.60197544306048e-011
1.99526231496888e+000	-3.03653495002946e-011,-8.35817855293713e-011
2.23872113856834e+000	-3.74974468191634e-011,-9.14378341175576e-011
2.51188643150958e+000	-4.60945168961084e-011,-9.94180064340119e-011
2.81838293126445e+000	-5.63519609726912e-011,-1.07280668991221e-010
3.16227766016837e+000	-6.84398951573832e-011,-1.14701266127052e-010
3.54813389233575e+000	-8.24749298526771e-011,-1.21266396164610e-010
3.98107170553496e+000	-9.84851732215832e-011,-1.26477429276865e-010
4.46683592150962e+000	-1.16371726490857e-010,-1.29768212857575e-010
5.01187233627271e+000	-1.35872831169033e-010,-1.30540249047314e-010
5.62341325190348e+000	-1.56539281648551e-010,-1.28215622745664e-010
