Freq.	V(vout)
1.00000000000000e-01	-4.36480193283096e-14,-4.28114938213239e-12
1.12201845430196e-01	-5.49481412126664e-14,-4.80340116148963e-12
1.25892541179417e-01	-6.91732983130680e-14,-5.38932472847237e-12
1.41253754462275e-01	-8.70803574923390e-14,-6.04666753880620e-12
1.58489319246111e-01	-1.09621865952213e-13,-6.78411344473037e-12
1.77827941003892e-01	-1.37996547294417e-13,-7.61139327138521e-12
1.99526231496888e-01	-1.73712772723719e-13,-8.53940737093541e-12
2.23872113856834e-01	-2.18668308982219e-13,-9.58036099423214e-12
2.51188643150958e-01	-2.75250465184218e-13,-1.07479131682480e-11
2.81838293126445e-01	-3.46461775268037e-13,-1.20573394945421e-11
3.16227766016838e-01	-4.36077597584824e-13,-1.35257088338252e-11
3.54813389233575e-01	-5.48843532451563e-13,-1.51720731358763e-11
3.98107170553497e-01	-6.90722393746750e-13,-1.70176686032217e-11
4.46683592150963e-01	-8.69202659972352e-13,-1.90861247895860e-11
5.01187233627272e-01	-1.09368289766485e-12,-2.14036759221752e-11
5.62341325190348e-01	-1.37594958484985e-12,-2.39993654179908e-11
6.30957344480192e-01	-1.73076899734836e-12,-2.69052298606254e-11
7.07945784384137e-01	-2.17661717735193e-12,-3.01564421188289e-11
7.94328234724280e-01	-2.73657513039950e-12,-3.37913841860213e-11
8.91250938133744e-01	-3.43941865104997e-12,-3.78516079174436e-11
9.99999999999999e-01	-4.32093247378462e-12,-4.23816252282916e-11
1.12201845430196e+00	-5.42547502586065e-12,-4.74284475369649e-11
1.25892541179417e+00	-6.80781019796066e-12,-5.30407664934993e-11
1.41253754462275e+00	-8.53520219160175e-12,-5.92676340881537e-11
1.58489319246111e+00	-1.06897329047209e-11,-6.61564611618836e-11
1.77827941003892e+00	-1.33707408375136e-11,-7.37501127799423e-11
1.99526231496888e+00	-1.66971868974786e-11,-8.20828450466264e-11
2.23872113856834e+00	-2.08096163454379e-11,-9.11748161543207e-11
2.51188643150958e+00	-2.58712014799735e-11,-1.01024940685857e-10
2.81838293126445e+00	-3.20671211537302e-11,-1.11601979435877e-10
3.16227766016837e+00	-3.96012881876430e-11,-1.22834018634647e-10
3.54813389233575e+00	-4.86892410092101e-11,-1.34596946884818e-10
3.98107170553496e+00	-5.95459946667954e-11,-1.46703217724859e-10
4.46683592150962e+00	-7.23679826601664e-11,-1.58893053065611e-10
5.01187233627271e+00	-8.73091261927781e-11,-1.70831123091072e-10
5.62341325190348e+00	-1.04452680086735e-10,-1.82112260202593e-10
6.30957344480192e+00	-1.23782712861658e-10,-1.92279375166376e-10
7.07945784384136e+00	-1.45161322961624e-10,-2.00854888468776e-10
7.94328234724279e+00	-1.68318914549742e-10,-2.07383500627443e-10
8.91250938133743e+00	-1.92863807776780e-10,-2.11479677561242e-10
