Freq.	V(vout)
1.00000000000000e-001	-1.47625885444580e-013,-5.21711111541942e-012
1.12201845430196e-001	-1.85824300446593e-013,-5.85268453048215e-012
1.25892541179417e-001	-2.33898248741564e-013,-6.56539321913884e-012
1.41253754462275e-001	-2.94395991177178e-013,-7.36447765202482e-012
1.58489319246111e-001	-3.70520482948464e-013,-8.26023533149915e-012
1.77827941003892e-001	-4.66295910400920e-013,-9.26412089352846e-012
1.99526231496888e-001	-5.86775617152268e-013,-1.03888466654784e-011
2.23872113856834e-001	-7.38301134794665e-013,-1.16484790035389e-011
2.51188643150958e-001	-9.28823975173522e-013,-1.30585233022734e-011
2.81838293126445e-001	-1.16830396032775e-012,-1.46359871431378e-011
3.16227766016838e-001	-1.46920003046581e-012,-1.63994062723541e-011
3.54813389233575e-001	-1.84707141816403e-012,-1.83688115134101e-011
3.98107170553497e-001	-2.32130833952920e-012,-2.05656057583263e-011
4.46683592150963e-001	-2.91601113974136e-012,-2.30123081794049e-011
5.01187233627272e-001	-3.66103386294700e-012,-2.57321070501791e-011
5.62341325190348e-001	-4.59320050862475e-012,-2.87481424431793e-011
6.30957344480192e-001	-5.75768682112295e-012,-3.20824153375988e-011
7.07945784384137e-001	-7.20953309325896e-012,-3.57541909714806e-011
7.94328234724280e-001	-9.01520842802726e-012,-3.97777340505103e-011
8.91250938133744e-001	-1.12540771021164e-011,-4.41591873276685e-011
9.99999999999999e-001	-1.40195155127256e-011,-4.88923939931715e-011
1.12201845430196e+000	-1.74192879225198e-011,-5.39534869548216e-011
1.25892541179417e+000	-2.15746118889099e-011,-5.92941533048262e-011
1.41253754462275e+000	-2.66171463201147e-011,-6.48336695012082e-011
1.58489319246111e+000	-3.26829610729982e-011,-7.04501369575619e-011
1.77827941003892e+000	-3.99024838328617e-011,-7.59718630572507e-011
1.99526231496888e+000	-4.83856047386236e-011,-8.11705194368990e-011
2.23872113856834e+000	-5.82017229745598e-011,-8.57584632819813e-011
2.51188643150958e+000	-6.93556839668461e-011,-8.93931760433387e-011
2.81838293126445e+000	-8.17622666814334e-011,-9.16917463401038e-011
3.16227766016837e+000	-9.52238065182475e-011,-9.22572316841142e-011
3.54813389233575e+000	-1.09416943991521e-010,-9.07163175651510e-011
3.98107170553496e+000	-1.23894389468090e-010,-8.67642688489383e-011
4.46683592150962e+000	-1.38105268360358e-010,-8.02098451089779e-011
5.01187233627271e+000	-1.51433277662315e-010,-7.10112432414776e-011
5.62341325190348e+000	-1.63247019624883e-010,-5.92954781900705e-011
6.30957344480192e+000	-1.72953663113876e-010,-4.53577847680118e-011
7.07945784384136e+000	-1.80047107763927e-010,-2.96428620532423e-011
7.94328234724279e+000	-1.84144963091235e-010,-1.27136247899806e-011
8.91250938133743e+000	-1.85013060003588e-010,4.78606655210652e-012
9.99999999999997e+000	-1.82579492322664e-010,2.21702991167353e-011
1.12201845430196e+001	-1.76940828844477e-010,3.87504616081677e-011
1.25892541179416e+001	-1.68361255770928e-010,5.38761123488728e-011
1.41253754462275e+001	-1.57262541286184e-010,6.69781566133267e-011
1.58489319246111e+001	-1.44200974097332e-010,7.76123776886390e-011
1.77827941003892e+001	-1.29828433771670e-010,8.54975976830019e-011
1.99526231496887e+001	-1.14838685798826e-010,9.05402755936016e-011
2.23872113856833e+001	-9.99052849117604e-011,9.28381133823643e-011
2.51188643150957e+001	-8.56214887207482e-011,9.26595411816163e-011
2.81838293126444e+001	-7.24531683102021e-011,9.04021085889583e-011
3.16227766016837e+001	-6.07124893900283e-011,8.65381104667051e-011
3.54813389233574e+001	-5.05546765561320e-011,8.15581203385441e-011
3.98107170553496e+001	-4.19948019563970e-011,7.59220601026371e-011
4.46683592150961e+001	-3.49380202585838e-011,7.00240679118283e-011
5.01187233627270e+001	-2.92155671991158e-011,6.41733444541027e-011
5.62341325190347e+001	-2.46197452619501e-011,5.85896578996888e-011
6.30957344480191e+001	-2.09332168925793e-011,5.34099488634316e-011
7.07945784384135e+001	-1.79503770244933e-011,4.87016448923461e-011
7.94328234724278e+001	-1.54907121732705e-011,4.44786497655656e-011
8.91250938133742e+001	-1.34054545942317e-011,4.07170717985556e-011
9.99999999999995e+001	-1.15793875345367e-011,3.73690738154437e-011
1.12201845430196e+002	-9.92950755580106e-012,3.43743209220670e-011
1.25892541179416e+002	-8.40173032854132e-012,3.16691236876384e-011
1.41253754462275e+002	-6.96629509712449e-012,2.91935128230189e-011
1.58489319246111e+002	-5.61223683192418e-012,2.68963207057307e-011
1.77827941003891e+002	-4.34132265888473e-012,2.47381603873234e-011
1.99526231496887e+002	-3.16206036497978e-012,2.26922105988138e-011
2.23872113856833e+002	-2.08454070220226e-012,2.07429915834904e-011
2.51188643150957e+002	-1.11677786569222e-012,1.88837101597567e-011
2.81838293126444e+002	-2.62846084328306e-013,1.71130282676661e-011
3.16227766016836e+002	4.77363599400013e-013,1.54321037207025e-011
3.54813389233574e+002	1.10730438296413e-012,1.38424740530057e-011
3.98107170553495e+002	1.63250717454623e-012,1.23449557325667e-011
4.46683592150961e+002	2.05942162860446e-012,1.09393905149755e-011
5.01187233627270e+002	2.39465411243815e-012,9.62489515970197e-012
5.62341325190346e+002	2.64464655117377e-012,8.40026764132235e-012
6.30957344480190e+002	2.81567880129343e-012,7.26431206116408e-012
7.07945784384134e+002	2.91402348780597e-012,6.21598587501920e-012
7.94328234724277e+002	2.94611218183001e-012,5.25438420937341e-012
8.91250938133740e+002	2.91863937733104e-012,4.37862866568464e-012
9.99999999999994e+002	2.83859279268910e-012,3.58772728161827e-012
1.12201845430196e+003	2.71323122178312e-012,2.88044354384238e-012
1.25892541179416e+003	2.55003380244848e-012,2.25518305739261e-012
1.41253754462275e+003	2.35663174005079e-012,1.70989235335569e-012
1.58489319246110e+003	2.14072142101622e-012,1.24196533610410e-012
1.77827941003891e+003	1.90995403283448e-012,8.48159984451627e-013
1.99526231496887e+003	1.67179945368175e-012,5.24533190531049e-013
2.23872113856832e+003	1.43338642334981e-012,2.66403104351948e-013
2.51188643150956e+003	1.20132442103501e-012,6.83478605393386e-014
2.81838293126443e+003	9.81515565245319e-013,-7.57514205418286e-014
3.16227766016836e+003	7.78967939278952e-013,-1.72617046333370e-013
3.54813389233573e+003	5.97624923387156e-013,-2.29427102017106e-013
3.98107170553494e+003	4.40227719519339e-013,-2.53614674007572e-013
4.46683592150960e+003	3.08229505997636e-013,-2.52620823831474e-013
5.01187233627269e+003	2.01778748798233e-013,-2.33615277837248e-013
5.62341325190345e+003	1.19785346337760e-013,-2.03206253583132e-013
6.30957344480189e+003	6.00759695273567e-014,-1.67167382583973e-013
7.07945784384133e+003	1.96342312112143e-014,-1.30213576613354e-013
