Freq.	V(vout)
1.00000000000000e-001	-3.07910704304699e-013,-6.85581506600332e-012
1.12201845430196e-001	-3.87504627051833e-013,-7.68904088360494e-012
1.25892541179417e-001	-4.87630393629989e-013,-8.62257348206549e-012
1.41253754462275e-001	-6.13559306388349e-013,-9.66809285122178e-012
1.58489319246111e-001	-7.71901420460142e-013,-1.08384754791616e-011
1.77827941003892e-001	-9.70937049263179e-013,-1.21478475949644e-011
1.99526231496888e-001	-1.22102539999392e-012,-1.36116078642774e-011
2.23872113856834e-001	-1.53510536026458e-012,-1.52464014609488e-011
2.51188643150958e-001	-1.92930459050501e-012,-1.70700200175682e-011
2.81838293126445e-001	-2.42367302572779e-012,-1.91011920043337e-011
3.16227766016838e-001	-3.04305461028601e-012,-2.13592149961133e-011
3.54813389233575e-001	-3.81810495308211e-012,-2.38633645224079e-011
3.98107170553497e-001	-4.78645015754857e-012,-2.66319935030160e-011
4.46683592150963e-001	-5.99395984455915e-012,-2.96812121125204e-011
5.01187233627272e-001	-7.49607059293444e-012,-3.30230121869053e-011
5.62341325190348e-001	-9.35903871795529e-012,-3.66626774841426e-011
6.30957344480192e-001	-1.16609169999222e-011,-4.05953100267969e-011
7.07945784384137e-001	-1.44919334867779e-011,-4.48013186113546e-011
7.94328234724280e-001	-1.79538019218786e-011,-4.92407821049138e-011
8.91250938133744e-001	-2.21573250778752e-011,-5.38467502312046e-011
9.99999999999999e-001	-2.72174995070776e-011,-5.85178164364311e-011
1.12201845430196e+000	-3.32452632303215e-011,-6.31107221129931e-011
1.25892541179417e+000	-4.03351596401352e-011,-6.74343259010365e-011
1.41253754462275e+000	-4.85486661058203e-011,-7.12469166665833e-011
1.58489319246111e+000	-5.78938813525749e-011,-7.42593622455498e-011
1.77827941003892e+000	-6.83036879586640e-011,-7.61466287877595e-011
1.99526231496888e+000	-7.96161536873890e-011,-7.65693756531396e-011
2.23872113856834e+000	-9.15622115944849e-011,-7.52053772943448e-011
2.51188643150958e+000	-1.03765732188955e-010,-7.17876575996390e-011
2.81838293126445e+000	-1.15759311223010e-010,-6.61433255759756e-011
3.16227766016837e+000	-1.27015534703466e-010,-5.82255335687803e-011
3.54813389233575e+000	-1.36989312095957e-010,-4.81318654238763e-011
3.98107170553496e+000	-1.45163931250973e-010,-3.61058218290005e-011
4.46683592150962e+000	-1.51093232782347e-010,-2.25225146234685e-011
5.01187233627271e+000	-1.54434767973045e-010,-7.86311534775636e-012
5.62341325190348e+000	-1.54972519238808e-010,7.31648224130227e-012
6.30957344480192e+000	-1.52630667467413e-010,2.24189384048928e-011
7.07945784384136e+000	-1.47480586940797e-010,3.68395816919652e-011
7.94328234724279e+000	-1.39741712885275e-010,5.00022505409989e-011
8.91250938133743e+000	-1.29774412954543e-010,6.13976373831952e-011
9.99999999999997e+000	-1.18061344951002e-010,7.06225613124624e-011
1.12201845430196e+001	-1.05174496432455e-010,7.74152117280316e-011
1.25892541179416e+001	-9.17284717288000e-011,8.16790126450430e-011
1.41253754462275e+001	-7.83253459411605e-011,8.34881540138950e-011
1.58489319246111e+001	-6.55002349452914e-011,8.30714565714236e-011
1.77827941003892e+001	-5.36776036799857e-011,8.07767232922086e-011
1.99526231496887e+001	-4.31457485557606e-011,7.70226861594459e-011
2.23872113856833e+001	-3.40520931631663e-011,7.22480920224344e-011
2.51188643150957e+001	-2.64170051025382e-011,6.68668388790833e-011
2.81838293126444e+001	-2.01604388074877e-011,6.12352178151862e-011
3.16227766016837e+001	-1.51344528132484e-011,5.56336521988086e-011
3.54813389233574e+001	-1.11552631496817e-011,5.02620554150877e-011
3.98107170553496e+001	-8.03028342873642e-012,4.52457235892139e-011
4.46683592150961e+001	-5.57782218028171e-012,4.06477345266494e-011
5.01187233627270e+001	-3.63913587837767e-012,3.64839932685399e-011
5.62341325190347e+001	-2.08395734714178e-012,3.27379812963940e-011
6.30957344480191e+001	-8.11282565790271e-013,2.93734702383944e-011
7.07945784384135e+001	2.52795452549987e-013,2.63445455210846e-011
7.94328234724278e+001	1.15881015487966e-012,2.36030099650064e-011
