Freq.	V(vout)
1.00000000000000e-001	-1.24230479938838e-013,-4.57944914480357e-012
1.12201845430196e-001	-1.56375637751078e-013,-5.13738666298978e-012
1.25892541179417e-001	-1.96831562769984e-013,-5.76305676134704e-012
1.41253754462275e-001	-2.47742862812880e-013,-6.46458156072002e-012
1.58489319246111e-001	-3.11805202028521e-013,-7.25101565417356e-012
1.77827941003892e-001	-3.92405514743146e-013,-8.13243588520511e-012
1.99526231496888e-001	-4.93797090089049e-013,-9.12003230673667e-012
2.23872113856834e-001	-6.21317726768431e-013,-1.02261965312794e-011
2.51188643150958e-001	-7.81660804984886e-013,-1.14646016731354e-011
2.81838293126445e-001	-9.83210927313786e-013,-1.28502652483541e-011
3.16227766016838e-001	-1.23645763521244e-012,-1.43995824408309e-011
3.54813389233575e-001	-1.55450239952397e-012,-1.61303116822867e-011
3.98107170553497e-001	-1.95367522730700e-012,-1.80614870571391e-011
4.46683592150963e-001	-2.45427717397321e-012,-2.02132220751791e-011
5.01187233627272e-001	-3.08146274583612e-012,-2.26063562620066e-011
5.62341325190348e-001	-3.86626998678153e-012,-2.52618792787981e-011
6.30957344480192e-001	-4.84679351329683e-012,-2.82000466830235e-011
7.07945784384137e-001	-6.06947339085278e-012,-3.14390774989373e-011
7.94328234724280e-001	-7.59043580205561e-012,-3.49932984743164e-011
8.91250938133744e-001	-9.47676407625896e-012,-3.88705778964945e-011
9.99999999999999e-001	-1.18074945392902e-011,-4.30688820960270e-011
1.12201845430196e+000	-1.46740160338946e-011,-4.75718056824961e-011
1.25892541179417e+000	-1.81794056817620e-011,-5.23429959290225e-011
1.41253754462275e+000	-2.24360700484514e-011,-5.73195450762121e-011
1.58489319246111e+000	-2.75609170576208e-011,-6.24046986958952e-011
1.77827941003892e+000	-3.36672315131948e-011,-6.74606518044692e-011
1.99526231496888e+000	-4.08525790010275e-011,-7.23027690033614e-011
2.23872113856834e+000	-4.91825603613651e-011,-7.66971840120464e-011
2.51188643150958e+000	-5.86711983057811e-011,-8.03641987685185e-011
2.81838293126445e+000	-6.92601463044981e-011,-8.29898728840040e-011
3.16227766016837e+000	-8.08004920972744e-011,-8.42472839411532e-011
3.54813389233575e+000	-9.30420730645741e-011,-8.38269346806735e-011
3.98107170553496e+000	-1.05635112858509e-010,-8.14729491354390e-011
4.46683592150962e+000	-1.18147030006532e-010,-7.70189574771956e-011
